Gebietseinheit,Aufenthaltstitel,GeoCode,Value
Emsland,Asylberechtigte und GFK-Flüchtlinge,K03454,1895
Friesland,Asylberechtigte und GFK-Flüchtlinge,K03455,500
Grafschaft Bentheim,Asylberechtigte und GFK-Flüchtlinge,K03456,730
Leer,Asylberechtigte und GFK-Flüchtlinge,K03457,965
Oldenburg,Asylberechtigte und GFK-Flüchtlinge,K03458,1345
Osnabrück,Asylberechtigte und GFK-Flüchtlinge,K03459,1070
Vechta,Asylberechtigte und GFK-Flüchtlinge,K03460,1860
Wesermarsch,Asylberechtigte und GFK-Flüchtlinge,K03461,515
Wittmund,Asylberechtigte und GFK-Flüchtlinge,K03462,220
Statistische Region Weser-Ems,Asylberechtigte und GFK-Flüchtlinge,K034,19665
Braunschweig Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03101,75
Salzgitter Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03102,35
Wolfsburg Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03103,30
Gifhorn,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03151,0
Goslar,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03153,215
Helmstedt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03154,5
Northeim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03155,50
Peine,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03157,35
Wolfenbüttel,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03158,35
Göttingen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03159,140
Statistische Region Braunschweig,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K031,625
Hannover Region,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241,610
Hannover Landeshauptstadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241001,240
Diepholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03251,65
Hameln-Pyrmont,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03252,60
Hildesheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03254,35
Holzminden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03255,5
Nienburg (Weser),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03256,75
Schaumburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03257,10
Statistische Region Hannover,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K032,865
Celle,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03351,10
Cuxhaven,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03352,65
Harburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03353,30
Lüchow-Dannenberg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03354,10
Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03355,35
Osterholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03356,15
Rotenburg (Wümme),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03357,40
Heidekreis,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03358,10
Stade,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03359,100
Uelzen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03360,30
Verden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03361,35
Statistische Region Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K033,380
Delmenhorst.Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03401,85
Emden Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03402,40
Oldenburg (Oldb) Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03403,20
Osnabrück Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03404,120
Wilhelmshaven Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03405,45
Ammerland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03451,15
Aurich,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03452,25
Cloppenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03453,30
Emsland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03454,70
Friesland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03455,20
Grafschaft Bentheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03456,35
Leer,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03457,30
Oldenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03458,40
Osnabrück,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03459,80
Vechta,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03460,35
Wesermarsch,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03461,10
Wittmund,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03462,0
Statistische Region Weser-Ems,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K034,700
Niedersachsen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K030,2565
Braunschweig Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03101,65
Salzgitter Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03102,40
Wolfsburg Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03103,15
Gifhorn,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03151,0
Göttingen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03159,125
Goslar,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03153,5
Helmstedt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03154,45
Northeim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03155,30
Peine,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03157,30
Wolfenbüttel,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03158,100
Statistische Region Braunschweig,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K031,465
Hannover Region,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241,485
Hannover Landeshauptstadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241001,185
Diepholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03251,50
Hameln-Pyrmont,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03252,50
Hildesheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03254,25
Holzminden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03255,5
Nienburg (Weser),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03256,45
Schaumburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03257,5
Statistische Region Hannover,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K032,665
Celle,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03351,10
Cuxhaven,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03352,30
Harburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03353,25
Lüchow-Dannenberg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03354,5
Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03355,35
Osterholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03356,10
Rotenburg (Wümme),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03357,40
Heidekreis,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03358,10
Stade,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03359,75
Uelzen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03360,20
Verden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03361,35
Statistische Region Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K033,295
Delmenhorst.Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03401,95
Emden Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03402,15
Oldenburg (Oldb) Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03403,20
Osnabrück Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03404,135
Wilhelmshaven Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03405,35
Ammerland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03451,15
Aurich,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03452,40
Cloppenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03453,25
Emsland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03454,45
Friesland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03455,15
Grafschaft Bentheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03456,15
Leer,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03457,30
Oldenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03458,35
Osnabrück,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03459,75
Vechta,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03460,20
Wesermarsch,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03461,0
Wittmund,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03462,0
Statistische Region Weser-Ems,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K034,615
Niedersachsen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K030,2035
Braunschweig Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03101,75
Salzgitter Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03102,40
Wolfsburg Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03103,20
Gifhorn,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03151,10
Göttingen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03159,175
Goslar,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03153,10
Helmstedt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03154,40
Northeim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03155,30
Peine,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03157,30
Wolfenbüttel,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03158,75
Statistische Region Braunschweig,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K031,500
Hannover Region,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241,475
Hannover Landeshauptstadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241001,180
Diepholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03251,35
Hameln-Pyrmont,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03252,60
Hildesheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03254,20
Holzminden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03255,5
Nienburg (Weser),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03256,50
Schaumburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03257,5
Statistische Region Hannover,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K032,650
Celle,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03351,10
Cuxhaven,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03352,25
Harburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03353,25
Lüchow-Dannenberg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03354,0
Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03355,40
Osterholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03356,10
Rotenburg (Wümme),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03357,40
Heidekreis,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03358,10
Stade,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03359,60
Uelzen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03360,15
Verden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03361,25
Statistische Region Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K033,255
Delmenhorst.Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03401,105
Emden Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03402,15
Oldenburg (Oldb) Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03403,15
Osnabrück Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03404,140
Wilhelmshaven Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03405,30
Ammerland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03451,15
Aurich,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03452,25
Cloppenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03453,15
Emsland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03454,50
Friesland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03455,10
Grafschaft Bentheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03456,15
Leer,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03457,20
Oldenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03458,40
Osnabrück,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03459,55
Vechta,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03460,20
Wesermarsch,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03461,0
Wittmund,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03462,0
Statistische Region Weser-Ems,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K034,565
Niedersachsen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K030,1975
Braunschweig Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03101,70
Salzgitter Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03102,25
Wolfsburg Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03103,20
Gifhorn,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03151,10
Goslar,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03153,10
Helmstedt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03154,55
Northeim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03155,40
Peine,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03157,35
Wolfenbüttel,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03158,75
Statistische Region Braunschweig,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K031,495
Hannover Region,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241,455
Hannover Landeshauptstadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241001,165
Diepholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03251,30
Hameln-Pyrmont,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03252,60
Hildesheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03254,20
Holzminden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03255,5
Nienburg (Weser),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03256,45
Schaumburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03257,5
Statistische Region Hannover,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K032,625
Celle,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03351,5
Cuxhaven,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03352,45
Harburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03353,30
Lüchow-Dannenberg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03354,0
Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03355,40
Osterholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03356,10
Rotenburg (Wümme),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03357,40
Heidekreis,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03358,10
Stade,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03359,55
Uelzen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03360,10
Verden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03361,25
Statistische Region Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K033,270
Delmenhorst.Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03401,105
Emden Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03402,5
Oldenburg (Oldb) Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03403,20
Osnabrück Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03404,140
Wilhelmshaven Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03405,15
Ammerland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03451,10
Aurich,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03452,25
Cloppenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03453,15
Emsland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03454,45
Friesland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03455,10
Grafschaft Bentheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03456,15
Leer,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03457,35
Oldenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03458,40
Osnabrück,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03459,50
Vechta,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03460,20
Wesermarsch,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03461,0
Wittmund,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03462,0
Statistische Region Weser-Ems,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K034,560
Niedersachsen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K030,1945
Braunschweig Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03101,70
Salzgitter Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03102,24
Wolfsburg Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03103,23
Gifhorn,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03151,13
Goslar,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03153,86
Helmstedt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03154,8
Northeim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03155,49
Peine,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03157,50
Wolfenbüttel,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03158,48
Statistische Region Braunschweig,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K031,463
Hannover Region,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241,499
Hannover Landeshauptstadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03241001,176
Diepholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03251,39
Hameln-Pyrmont,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03252,54
Hildesheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03254,13
Holzminden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03255,2
Nienburg (Weser),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03256,49
Schaumburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03257,6
Statistische Region Hannover,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K032,662
Celle,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03351,7
Cuxhaven,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03352,56
Harburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03353,28
Lüchow-Dannenberg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03354,0
Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03355,41
Osterholz,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03356,11
Rotenburg (Wümme),Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03357,45
Heidekreis,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03358,11
Stade,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03359,57
Uelzen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03360,14
Verden,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03361,27
Statistische Region Lüneburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K033,297
Delmenhorst.Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03401,105
Emden Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03402,4
Oldenburg (Oldb) Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03403,25
Osnabrück Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03404,142
Wilhelmshaven Stadt,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03405,4
Ammerland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03451,18
Aurich,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03452,36
Cloppenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03453,18
Emsland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03454,51
Friesland,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03455,14
Grafschaft Bentheim,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03456,16
Leer,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03457,43
Oldenburg,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03458,42
Osnabrück,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03459,53
Vechta,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03460,23
Wesermarsch,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03461,0
Wittmund,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K03462,1
Statistische Region Weser-Ems,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K034,595
Niedersachsen,Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,K030,2017
Braunschweig Stadt,Verbot der Abschiebung Subsidiärer Schutz1),K03101,690
Salzgitter Stadt,Verbot der Abschiebung Subsidiärer Schutz1),K03102,1385
Wolfsburg Stadt,Verbot der Abschiebung Subsidiärer Schutz1),K03103,795
Gifhorn,Verbot der Abschiebung Subsidiärer Schutz1),K03151,530
Goslar,Verbot der Abschiebung Subsidiärer Schutz1),K03153,700
Helmstedt,Verbot der Abschiebung Subsidiärer Schutz1),K03154,375
Northeim,Verbot der Abschiebung Subsidiärer Schutz1),K03155,550
Peine,Verbot der Abschiebung Subsidiärer Schutz1),K03157,745
Wolfenbüttel,Verbot der Abschiebung Subsidiärer Schutz1),K03158,605
Göttingen,Verbot der Abschiebung Subsidiärer Schutz1),K03159,1165
Statistische Region Braunschweig,Verbot der Abschiebung Subsidiärer Schutz1),K031,7535
Hannover Region,Verbot der Abschiebung Subsidiärer Schutz1),K03241,6100
Hannover Landeshauptstadt,Verbot der Abschiebung Subsidiärer Schutz1),K03241001,2670
Diepholz,Verbot der Abschiebung Subsidiärer Schutz1),K03251,1105
Hameln-Pyrmont,Verbot der Abschiebung Subsidiärer Schutz1),K03252,965
Hildesheim,Verbot der Abschiebung Subsidiärer Schutz1),K03254,1255
Holzminden,Verbot der Abschiebung Subsidiärer Schutz1),K03255,300
Nienburg (Weser),Verbot der Abschiebung Subsidiärer Schutz1),K03256,800
Schaumburg,Verbot der Abschiebung Subsidiärer Schutz1),K03257,945
Statistische Region Hannover,Verbot der Abschiebung Subsidiärer Schutz1),K032,11465
Celle,Verbot der Abschiebung Subsidiärer Schutz1),K03351,915
Cuxhaven,Verbot der Abschiebung Subsidiärer Schutz1),K03352,920
Harburg,Verbot der Abschiebung Subsidiärer Schutz1),K03353,630
Lüchow-Dannenberg,Verbot der Abschiebung Subsidiärer Schutz1),K03354,145
Lüneburg,Verbot der Abschiebung Subsidiärer Schutz1),K03355,790
Osterholz,Verbot der Abschiebung Subsidiärer Schutz1),K03356,435
Rotenburg (Wümme),Verbot der Abschiebung Subsidiärer Schutz1),K03357,675
Heidekreis,Verbot der Abschiebung Subsidiärer Schutz1),K03358,370
Stade,Verbot der Abschiebung Subsidiärer Schutz1),K03359,1280
Uelzen,Verbot der Abschiebung Subsidiärer Schutz1),K03360,315
